Date,High_Moderna,Low_Moderna,Open_Moderna,Close_Moderna,Volume_Moderna,Adj Close_Moderna,High_Inovio Pharmaceuticals,Low_Inovio Pharmaceuticals,Open_Inovio Pharmaceuticals,Close_Inovio Pharmaceuticals,Volume_Inovio Pharmaceuticals,Adj Close_Inovio Pharmaceuticals,High_Novavax,Low_Novavax,Open_Novavax,Close_Novavax,Volume_Novavax,Adj Close_Novavax,High_BioNTech,Low_BioNTech,Open_BioNTech,Close_BioNTech,Volume_BioNTech,Adj Close_BioNTech
17-12-2019,18.70000076,18.30999947,18.54000092,18.44000053,1647800,18.44000053,2.660000086,2.559999943,2.660000086,2.630000114,548900,2.630000114,4.019999981,3.950000048,3.950000048,3.99000001,884100,3.99000001,36.91799927,34.81999969,36.50999832,36.90999985,261600,36.90999985
18-12-2019,19,18.47999954,18.47999954,18.63999939,1277700,18.63999939,2.700000048,2.569999933,2.630000114,2.630000114,635200,2.630000114,4.010000229,3.910000086,4,3.960000038,524400,3.960000038,35.81999969,33.11999893,35.47999954,35,146500,35
19-12-2019,19.67000008,18.5,18.57999992,19.40999985,2101700,19.40999985,3.470000029,2.809999943,2.849999905,3.440000057,6519500,3.440000057,4.039999962,3.849999905,3.980000019,4.010000229,950400,4.010000229,33.86999893,27.72800064,33.86999893,29.34000015,250500,29.34000015
20-12-2019,20,19.04999924,19.39999962,19.82999992,10931400,19.82999992,3.579999924,3.119999886,3.539999962,3.299999952,2641100,3.299999952,4.079999924,3.930000067,4.079999924,4.010000229,1390600,4.010000229,34.97000122,31.80999947,31.80999947,34.97000122,447900,34.97000122
23-12-2019,19.85000038,19.34000015,19.79000092,19.70000076,1789700,19.70000076,3.769999981,3.220000029,3.299999952,3.720000029,2087800,3.720000029,4.099999905,3.940000057,4.039999962,4,1070000,4,35.90000153,33.09999847,34.90999985,34.72999954,103500,34.72999954
24-12-2019,19.79000092,19.35000038,19.69000053,19.75,488900,19.75,3.829999924,3.579999924,3.779999971,3.690000057,949900,3.690000057,4.03000021,3.970000029,4,4,603100,4,34.61000061,33.00999832,34.61000061,33.47000122,23900,33.47000122
26-12-2019,20.11000061,19.65999985,19.81999969,19.86000061,750300,19.86000061,3.660000086,3.49000001,3.569999933,3.549999952,1037300,3.549999952,4.03000021,3.869999886,3.99000001,4,1202100,4,34,31.5909996,33.29000092,33.20000076,53900,33.20000076
27-12-2019,20,19.25,19.98999977,19.52000046,1046900,19.52000046,3.569999933,3.309999943,3.529999971,3.339999914,1481000,3.339999914,4.010000229,3.950000048,4,3.99000001,774900,3.99000001,33.58000183,32.02000046,32.61000061,32.58000183,38100,32.58000183
30-12-2019,19.94000053,18.94000053,19.54000092,19.04999924,1183300,19.04999924,3.539999962,3.359999895,3.369999886,3.400000095,1018500,3.400000095,4.019999981,3.960000038,3.980000019,4,734600,4,34.90999985,33,33,34.90999985,33500,34.90999985
31-12-2019,19.63999939,18.95999908,18.95999908,19.55999947,1112400,19.55999947,3.440000057,3.289999962,3.380000114,3.299999952,835700,3.299999952,4.010000229,3.940000057,3.980000019,3.980000019,1324900,3.980000019,34.75899887,33.68999863,34.70999908,33.88000107,40000,33.88000107
02-01-2020,19.80999947,18.87999916,19.56999969,19.22999954,1233600,19.22999954,3.390000105,3.059999943,3.390000105,3.210000038,971100,3.210000038,4.570000172,3.859999895,3.99000001,4.489999771,6124200,4.489999771,38.5,35.36000061,35.75,38.5,139500,38.5
03-01-2020,19.36000061,18.71999931,19.02000046,18.88999939,1751000,18.88999939,3.25,2.950000048,3.099999905,2.980000019,1205000,2.980000019,4.599999905,4.210000038,4.46999979,4.440000057,1709000,4.440000057,41.25,36.41999817,38,40.04999924,176000,40.04999924
06-01-2020,18.73999977,18.01000023,18.70000076,18.12999916,1606500,18.12999916,3.160000086,2.950000048,3.019999981,3.140000105,1098200,3.140000105,4.71999979,4.360000134,4.409999847,4.579999924,2111700,4.579999924,45,40.09999847,40.11000061,44.58000183,333300,44.58000183
